DB file ID,Turbo,Rating,Origin,Year,Decade,Mass,Model,Version,RefCount,Author,Class,vehFile,Type,Aero,Aids,F/R/4WD,originalFolder,Continent,Manufacturer,Category,Scene Description,GraphicDetailsFactor,URL,Gearshift,AIstrengthFactor,tType,Name,ID,Country,Flags,MinVersion,Track Name
134_JUDD,0,,2,,,828,Judd,0.7,3,PortoAlto and rstRmods,,134_JUDD.VEH,2,1,,REAR,Installed\vehicles\134_JUDD\0.7,,134,7,,,,Paddles,,Prototype,134_JUDD,,,271593472,,
1975BRABHAM,0,,0,1975,1970-,653,Brabham,1,1,,,PACE_08.VEH,2,1,,REAR,Installed\vehicles\1975BRABHAM\1.0,,Brabham,0,,,,H5,,,1975BRABHAM,,,3149824,,
1975BRM,0,,0,1975,1970-,661,Brm,1,1,,,EVANS_14.VEH,2,1,,REAR,Installed\vehicles\1975BRM\1.0,,BRM,0,,,,H5,,,1975BRM,,,3149824,,
1975COPERSUCAR,0,,0,1975,1970-,677,Copersucar,1,1,,,FITTIPALDI_30.VEH,2,1,,REAR,Installed\vehicles\1975COPERSUCAR\1.0,,Copersucar,0,,,,H5,,,1975COPERSUCAR,,,3149824,,
1975EMBASSY,0,,0,1975,1970-,667,Embassy,1,1,,,BRISE_23.VEH,2,1,,REAR,Installed\vehicles\1975EMBASSY\1.0,,Embassy,0,,,,H5,,,1975EMBASSY,,,3149824,,
1975FERRARI,0,,0,1975,1970-,651,Ferrari,1,1,,,LAUDA_12.VEH,2,1,,REAR,Installed\vehicles\1975FERRARI\1.0,,Ferrari,0,,,,H5,,,1975FERRARI,,,3149824,,
1975HESKETH,0,,0,1975,1970-,669,Hesketh,1,1,,,ERTL_32.VEH,2,1,,REAR,Installed\vehicles\1975HESKETH\1.0,,Hesketh,0,,,,H5,,,1975HESKETH,,,3149824,,
1975LOTUS,0,,0,1975,1970-,654,Lotus,1,1,,,PETERSON_05.VEH,2,1,,REAR,Installed\vehicles\1975LOTUS\1.0,,Lotus,0,,,,H5,,,1975LOTUS,,,3149824,,
1975MAKI,0,,0,1975,1970-,725,Maki,1,1,,,TRIMMER_35.VEH,2,1,,REAR,Installed\vehicles\1975MAKI\1.0,,Maki,0,,,,H5,,,1975MAKI,,,3149824,,
1975MARCH,0,,0,1975,1970-,668,March,1,1,,,STUCK_10.VEH,2,1,,REAR,Installed\vehicles\1975MARCH\1.0,,March,0,,,,H5,,,1975MARCH,,,3149824,,
1975MCLAREN,0,,0,1975,1970-,651,Mclaren,1,1,,,FITTIPALDI_01.VEH,2,1,,REAR,Installed\vehicles\1975MCLAREN\1.0,,McLaren,0,,,,H6,,,1975MCLAREN,,,3149824,,
1975PARNELLI,0,,0,1975,1970-,655,Parnelli,1,1,,,ANDRETTI_27.VEH,2,1,,REAR,Installed\vehicles\1975PARNELLI\1.0,,Parnelli,0,,,,H5,,,1975PARNELLI,,,3149824,,
1975PENSKE,0,,0,1975,1970-,656,Penske,1,1,,,DONOHUE_28.VEH,2,1,,REAR,Installed\vehicles\1975PENSKE\1.0,,Penske,0,,,,H5,,,1975PENSKE,,,3149824,,
1975SHADOW,0,,0,1975,1970-,664,Shadow,1,1,,,JARIER_17.VEH,2,1,,REAR,Installed\vehicles\1975SHADOW\1.0,,Shadow,0,,,,H5,,,1975SHADOW,,,3149824,,
1975SURTEES,0,,0,1975,1970-,666,Surtees,1,1,,,MORGAN_19.VEH,2,1,,REAR,Installed\vehicles\1975SURTEES\1.0,,Surtees,0,,,,H5,,,1975SURTEES,,,3149824,,
1975TYRRELL,0,,0,1975,1970-,663,Tyrrell,1,1,,,DEPAILLER_04.VEH,2,1,,REAR,Installed\vehicles\1975TYRRELL\1.0,,Tyrrell,0,,,,H5,,,1975TYRRELL,,,3149824,,
