# Name xxxxx.scn pairs for each track file
# Generated manually

#Track name	# Probable .SCN file name
3PA_Bathurst_2014	BATHURST_FULL
3PA_Matsusaka_2015	MATSUSAKA_EAST
3PA_Matsusaka_2015	MATSUSAKA_GP
3PA_Matsusaka_2015	MATSUSAKA_INTERNATIONAL
3PA_Matsusaka_2015	MATSUSAKA_INTL_OLD_CHICANE
3PA_Matsusaka_2015	MATSUSAKA_INTL_WEST_CHICANE
3PA_Matsusaka_2015	MATSUSAKA_MOTORCYCLE
3PA_Matsusaka_2015	MATSUSAKA_WEST
3PA_Matsusaka_2015	MATSUSAKA_WEST_WEST_CHICANE
60sHockenheim	60SHOCKENHEIM
Adelaide_Street_Circuit_2011	ADELAIDE
AnneauduRhin2016	ADR2016
Aquitania	AQUITANIA
AtlantaMP_2014	ATLANTAMP_KT_A
AtlantaMP_2014	ATLANTAMP_KT_B
AtlantaMP_2014	ATLANTAMP_KT_BPLUS
AtlantaMP_2014	ATLANTAMP_KT_C
AtlantaMP_2014	ATLANTAMP_RT
Barbagallo_v2.3	BARBAGALLO
Barbagallo_v2.3	BARBAGALLO_SHORT
BATHURST_2016_V3	BATHURST12H2016
BATHURST_2016_V3	BATHURST2016
BATHURST_2016_V3	BATHURST2016_12H
Blackwood	BLACKWOOD_CL
Blackwood	BLACKWOOD_CL_REV
Blackwood	BLACKWOOD_GR
Blackwood	BLACKWOOD_GR_REV
Blackwood	BLACKWOOD_GX
Blackwood	BLACKWOOD_GX_REV
Blackwood	BLACKWOOD_RL
Blackwood	BLACKWOOD_RL_REV
Blackwood	BLACKWOOD_RT
Blackwood	BLACKWOOD_RT_REV
Blackwood	BLACKWOOD_SKIDPAD
Botniaring_2017	LAYOUTCHICANE
Botniaring_2017	LAYOUTLONG
Botniaring_2017	LAYOUTSHORT
BrandsACdx	BRANDSGP
BrandsACdx	BRANDSINDY
BrandsHatch	BRANDS_HATCH_GP
BrandsHatch	BRANDS_HATCH_INDY
Brianza	BRIANZA
Brianza	BRIANZA_BLANCPAIN
Brianza	BRIANZA_GP
Brianza	BRIANZA_HISTA
Brianza	BRIANZA_HISTB
Brianza	BRIANZA_JR
Brianza_1966	BRIANZA
Brianza_1966	BRIANZA10K
Brianza_1966	BRIANZA1966
Brianza_1966	BRIANZAJR
Bridgehampton	BRIDGEHAMPTON
Bridgehampton	BRIDGEHAMPTON_A
Buenos_Aires_Historic	BUENOS_AIRES_HISTORIC
Cadwell_Park_Circuit	CADWELLPARKSRW
Castle_Combe_Circuit	CASTLECOMBE_CLASSIC
Castle_Combe_Circuit	CASTLECOMBE_MODERN
